block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,No speech,0.0,0.0,0.0,0.0,0,,,,,,
2,No speech,0.0,0.0,0.0,0.0,0,,,,,,
3,No speech,0.0,0.0,0.0,0.0,0,,,,,,
4,Governo/Partidos,30.0,0.5263157894736842,57.0,0.6333333333333333,2,"Governo/Partidos, Greves/Trabalho",,,1,"sobre todo ligado a gestão das duas centrais sindicais. O primeiro ministro de vida, olhar para aquilo que foi a realidade do passado sábado, onde mais de 100.000 trabalhadores tiveram na rua. E esta mobilização, esta participação, só acontece porque os trabalhadores serem-te já hoje enormes dificuldades da sua vida. E se entende que deve entrar nesse tipo de discurso de insulto a que foi a posição dos trabalhadores, então o seu primeiro ministro está olhar para a realidade, de uma forma muito enviesada. O mesmo Antenegro esclarceu a que partidesse refria.","sobre todo ligado a gestão das duas centrais sindicais. O primeiro ministro de vida, olhar para aquilo que foi a realidade do passado sábado, onde mais de 100.000 trabalhadores tiveram na rua. E esta mobilização, esta participação, só acontece porque os trabalhadores serem-te já hoje enormes dificuldades da sua vida. E se entende que deve entrar nesse tipo de discurso de insulto a que foi a posição dos trabalhadores, então o seu primeiro ministro está olhar para a realidade, de uma forma muito enviesada. O mesmo Antenegro esclarceu a que partidesse refria."
5,Governo/Partidos,12.0,0.8,15.0,1.0,2,"Governo/Partidos, Educação",,CDS,"1, 2","enviesada. O mesmo Antenegro esclarceu a que partidesse refria. Nós não vamos aqui há muitos anos. Daça a mesma escola é a tata que é narrativa. É cascas de banhada para a gente descoregar. Não, vamos falar de sua precaridade. Vamos falar sobre a circulação dos horários de trabalho. É que se alguém capturar por alguém, é o PC, é o CDS, é o Governo, é o","enviesada. O mesmo Antenegro esclarceu a que partidesse refria. Nós não vamos aqui há muitos anos. Daça a mesma escola é a tata que é narrativa. É cascas de banhada para a gente descoregar. Não, vamos falar de sua precaridade. Vamos falar sobre a circulação dos horários de trabalho. É que se alguém capturar por alguém, é o PC, é o CDS, é o Governo, é o"
6,Governo/Partidos,36.0,1.0,36.0,1.0,2,"Governo/Partidos, Educação",,CDS,2,"Nós não vamos aqui há muitos anos. Daça a mesma escola é a tata que é narrativa. É cascas de banhada para a gente descoregar. Não, vamos falar de sua precaridade. Vamos falar sobre a circulação dos horários de trabalho. É que se alguém capturar por alguém, é o PC, é o CDS, é o Governo, é o chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta.","Nós não vamos aqui há muitos anos. Daça a mesma escola é a tata que é narrativa. É cascas de banhada para a gente descoregar. Não, vamos falar de sua precaridade. Vamos falar sobre a circulação dos horários de trabalho. É que se alguém capturar por alguém, é o PC, é o CDS, é o Governo, é o chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta."
7,Governo/Partidos,6.0,1.0,6.0,1.0,1,Governo/Partidos,,,2,"chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta.","chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta."
8,Governo/Partidos,6.0,0.16666666666666666,36.0,0.23529411764705882,2,Governo/Partidos,,,"2, 3","chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta. A concession foi atribuida por a mentida do Estado Central de Chamada Doca Pesca. O município não teve nada a ver com o contrato de concession, que foi, enfim, liberado porque não tinha que ser deliberado. Tanto não percebo onde é que entra aqui o município. Mas a relação com o município passa também por ele, licencimentos? Claro que sim, mas o licencimento é feito muito posteriormente ao contrato de concession.","chego. Se evoluir, vai dar um capturado de todos os gentes económicos. A OJT não quer para já comentar as palavras do primeiro ministro e remete para a próxima quinta-feira à altura em que o secretariado nacional vai reunir-se para retificar a greva geral, conjunta. A concession foi atribuida por a mentida do Estado Central de Chamada Doca Pesca. O município não teve nada a ver com o contrato de concession, que foi, enfim, liberado porque não tinha que ser deliberado. Tanto não percebo onde é que entra aqui o município. Mas a relação com o município passa também por ele, licencimentos? Claro que sim, mas o licencimento é feito muito posteriormente ao contrato de concession."
9,No speech,0.0,0.0,0.0,0.0,0,,,,,,
10,No speech,0.0,0.0,0.0,0.0,0,,,,,,
11,Greves/Trabalho,12.0,1.0,12.0,0.4,1,"Governo/Partidos, Greves/Trabalho",,,4,"nos contratos a prazo, duração máxima sob de dois para três anos. O período espememental passa de seis meses para um ano. O governo que ainda dá a possibilidade de um trabalhador comprar dois dias de férias, outra proposta é reduzir a flexibilidade do horário para trabalhadores com filhos até aos 12 anos, que até agora podem recusar essa fase de trabalho no outurno ou trabalhar aos fizessemenes e friados. Quanto a lei da greve o governo","nos contratos a prazo, duração máxima sob de dois para três anos. O período espememental passa de seis meses para um ano. O governo que ainda dá a possibilidade de um trabalhador comprar dois dias de férias, outra proposta é reduzir a flexibilidade do horário para trabalhadores com filhos até aos 12 anos, que até agora podem recusar essa fase de trabalho no outurno ou trabalhar aos fizessemenes e friados. Quanto a lei da greve o governo"
