block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,review_priority
1,00:00,00:30,0.0,30.0,0.5,Greves/Trabalho,No speech,Greves/Trabalho,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,candidate_detected,high,00:24,24.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",False,,,,"Educação, Greves/Trabalho",,,,universidade | presidente operado | ciacil | losp | greve geral | rvices | group services | olkswagen,,1,medium
2,00:30,01:00,30.0,60.0,0.5,Internacional,No speech,Internacional,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,"Greves/Trabalho, Internacional",,,,greve geral | pronto para a guerra | vladimir putin | vladimir putin pronto para a guerra | peste suína espanha em alerta | lomos | campius,,2,medium
3,01:00,01:06,60.0,66.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,44 34 60 n | 1 63 | 277 | 3 90 | 8 15 | 3 28 4 05 0 37 | 75 6 | 1 48,,3,medium
4,01:06,01:18,66.0,78.0,0.2,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,210 | 411331 21w | 44 34 60 n | 54 20 80 n | telejornal | ter 02 19 59,,4,medium
5,01:18,01:24,78.0,84.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,tele jornal | ter 02 19 59 | joão adelino faria,,5,medium
7,03:36,03:42,216.0,222.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,04:00,24.0,"lexical_change_high, semantic_change_high",,,,,chare da casa civil | fernando frutuoso de melo | tele jornal | ter 02 20 01 | editora de ima | paula meir | repórteres de imag | soraia maia andré mateus pi,,10,medium
8,03:42,03:48,222.0,228.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,04:00,18.0,"lexical_change_high, semantic_change_high",,,,,tele jornal | ter 02 20 01,,11,medium
9,03:48,04:24,228.0,264.0,0.6,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,0.667,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,04:00,12.0,"lexical_change_high, semantic_change_high",Governo/Partidos,,,,tele jornal | ter 02 20 01 | per printiw | presidente internado | telejornal | montenegro leva um abraço do povo português | marcelo rebelo de sousa está muito bem disposto | ter 02 20 02,"Eu acredito que não será a vazive da minha parte de dizer que leva um abraço do povo portuguesa e, portanto, está sorridente passará uma dessa boa disposição também. Uma oportunidade de poder transmitir-lhe que o país está naturalmente com ele e deseja um rápido restabilcimento e recuperação.",12,medium
11,06:00,06:03,360.0,363.0,0.05,Other/Unknown,Abertura/Manchetes,Abertura/Manchetes,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:00,0.0,"new_theme_after_unknown, semantic_change_high, entities_changed, volume_change_high",,Abertura/Manchetes,,,andré mateus pinto | carlos valente | editor de imagem | pedro amanajás soraia maia | repórteres de imagem | cristiano costa cláudia viana | jornalistas | raquel amado rita macedo,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo",14,medium
12,06:03,06:06,363.0,366.0,0.05,Other/Unknown,Abertura/Manchetes,Abertura/Manchetes,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:00,3.0,"new_theme_after_unknown, semantic_change_high, entities_changed, volume_change_high",Internacional,Abertura/Manchetes,,,telejornal | ter 02 20 03 | receção em honra dos reis de espanha | tele jornal | ter 02 20 04,"Boa noite, sim, precisamente vai ser assim até amanheia, a expectável que Marcelo",15,medium
