block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,review_priority
1,00:00,00:33,0.0,33.0,0.55,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,weak_candidate_no_persistence,low,00:30,30.0,4,"body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",False,,,,,,,,a televisão feita por si | jornal nacional | jornal riacionial | 2 976 | antónio costa escutado durante 5 anos | 19 54 | tvi | tvi 19 54,,1,medium
2,00:33,01:06,33.0,66.0,0.55,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.; Low speech coverage inside OCR block.,0.182,1.0,1,candidate_detected,high,01:00,27.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,01:00,27.0,first_speech_window,,,,,acusam mp de fazer contas de merceeiro | tvi 19 54 | 19 54 | tvi | acusam mp de fazer contas de merceeirc | 1 865 | não dormir bem tem consequências graves | jornal nagonal,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais",2,medium
3,01:06,01:12,66.0,72.0,0.1,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,6.0,first_speech_window,,,,,tvi 19 55 | 19 55 | jornal nacional,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais",3,medium
4,01:12,01:15,72.0,75.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,12.0,first_speech_window,,,,,19 55,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais",4,medium
5,01:15,02:00,75.0,120.0,0.75,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,15.0,first_speech_window,,,,,19 55 | a state of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the | showing | roubos de milhares em supermercados | jornal nacional | tvi | todas as imagens para ver mais à frente neste jornal | todas as imagens para ver mais à frente neste jorna,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais do país. Os supeitos roubavam produtos de grandes especificis e depois vendiam-nos no mercado paralel. Chegavam levar para telelas inteiras como mostram as imagens de vídeo e a vigilância que tivemos acesso.",5,medium
6,02:00,03:24,120.0,204.0,1.4,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,3,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,02:00,0.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high",,"Governo/Partidos, Justiça/Segurança",,,0 754 | 19 56 | a segu | ozempic 0 5 mg | semaglutido | solução injetável em caneta pre cheja | uma vez por semana | via subcutânea,"Há um desenvolvimento surpreendente no processo de influência que levou à queda do Governo. O Ministério Público manteu durante cinco anos, escutas telefónicas envolvendo o António Costa sem as enviar ao Tribunal, a pesar de aler e obrigar a sua validação no práso máximo de 48 horas. As gravações incluem 22 conversas entre o então primeiro-ministro e três dos visados do operação em fluência. De acordo com o diário de notícias, as infeciações ocorreram entre 2020 e 2022, mas só foram entregues ao Supremo Tribunal de Justiça em outubro, o que faz com que possam vida ser consideradas prova proibida. A operação em fluência não investiga a ligada de escrimos de corrupção, tráfico de influência e ...",6,medium
9,06:03,06:06,363.0,366.0,0.05,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,05:30,33.0,"theme_changed, lexical_change_high, semantic_change_high",,Saúde,,,tvi 20 00,"foram registadas 77 reclamações no total do ano. As caixas têm a ver com acesso a exames, análises e tratamentos a centros privados. Segundo a RES, a dificuldades na marcação e realização de exames como oicografias, mamografias, ressonâncias, tac, tratamentos de reablitação como o fisiotrapia. As vagas e assistentes nos centros privados para os autentes do SNS podem levar a uma espera de três a quatro meses. A entidade reguladora da saúde lançou um alerta em outubro ao hospitador",9,medium
11,08:42,08:51,522.0,531.0,0.15,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Saúde, Economia/Proteção Social",,,tvi 20 03 | 20 03 | tvi | jornal nacional,"chamada, o aviso, o pagamento da consulta teria de ser feito em numerário ou cheque, as autoridades terão percebido através de escutas que não havia sequer multibenco. Mas vemos aos preços de uma primeira consulta, custava ao paciente 160 euros, as que viriam a seguir 140. Tudo para aceleram medicamento, o que custa 120 euros sem comparticipação, mas nem 11 euros se for prescrito por um médico. E já que estamos nos números, os que",13,medium
12,08:51,10:15,531.0,615.0,1.4,Saúde,Justiça/Segurança,Saúde,low_conflict,True,OCR and speech themes conflict.,1.0,0.536,4,late_body_ocr_change,low,,54.0,2,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump",False,,,,"Saúde, Justiça/Segurança","Saúde, Economia/Proteção Social, Justiça/Segurança, Internacional",,,ozempic det 101 | tvi 20 03 | ozempic det | 20 03 | ozempic design | ozempic den | jornal nacional | ozempic para todos,"chamada, o aviso, o pagamento da consulta teria de ser feito em numerário ou cheque, as autoridades terão percebido através de escutas que não havia sequer multibenco. Mas vemos aos preços de uma primeira consulta, custava ao paciente 160 euros, as que viriam a seguir 140. Tudo para aceleram medicamento, o que custa 120 euros sem comparticipação, mas nem 11 euros se for prescrito por um médico. E já que estamos nos números, os que a Madagraça Vargas, terá começado em 2014, foram 11 anos que resultaram em 66 mil em balagens pela médica prescritas, a quase 2 milutentes. Leça no despacho que ao todo foram mais de 6 milhões de euros comparticipados pelo serviço nacional de saúde, no que aos tras...",14,high
13,10:15,10:18,615.0,618.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,Justiça/Segurança,,,medicamento sujesto a reco | solução injetável e via subcutânea | uma vez por sema | tvi 20 04 | 0 754 | a segu,"sinal de medicamentos para diabéticos. Agora a médica vai ter de pagar uma caução de meio-milhão de euros, fica ainda proibida de contactar com as testimonhas, frequentar a clínica e exercer a profissão.",15,medium
