block_id,ocr_start_sec,ocr_end_sec,ocr_start_time,ocr_end_time,ocr_duration_sec,ocr_duration_min,window_id,speech_start_sec,speech_end_sec,speech_start_time,speech_end_time,speech_duration_sec,overlap_sec,overlap_ratio_of_ocr_block,overlap_ratio_of_speech_window,ocr_theme,ocr_themes_present,ocr_text,speech_theme,speech_themes_present,speech_candidates_present,speech_parties_present,speech_text,speech_source_segments,speech_transition_reason
7,75.0,246.0,01:15,04:06,171.0,2.85,1,90.0,120.0,01:30,02:00,30.0,30.0,0.17543859649122806,1.0,Transportes/Mobilidade,"Transportes/Mobilidade, Internacional, Justiça/Segurança",filas no aeroporto de lisboa | 19 55 | jornal nacional | macronal | tvi | tvi 19 55 | filas no aeroporto de lisbo | passageiros esperam hoje mais de três horas,Governo/Partidos,"Governo/Partidos, Justiça/Segurança, Greves/Trabalho",,,"Dia após dia, o cenário repete, se não era o porto de Lisboa. Longas filas para o controle de fronteiras, os passageiros relatam tempos de espera que o terapáção as três horas. As filas dos últimos dias devem sás falhas no sistema de controle de fronteiras, mas também a falta de policiais. O Governo já reforçou o policiamento, mas o sindicato dos profissionais da PSP diz que não é desta forma que as filas se resolvem.",1,
7,75.0,246.0,01:15,04:06,171.0,2.85,2,120.0,150.0,02:00,02:30,30.0,30.0,0.17543859649122806,1.0,Transportes/Mobilidade,"Transportes/Mobilidade, Internacional, Justiça/Segurança",filas no aeroporto de lisboa | 19 55 | jornal nacional | macronal | tvi | tvi 19 55 | filas no aeroporto de lisbo | passageiros esperam hoje mais de três horas,Eleições/Campanha,"Eleições/Campanha, Governo/Partidos, Justiça/Segurança, Greves/Trabalho, Transportes/Mobilidade",,,"Este sindicato de Nunciá ainda falta de condições no aeroporto de Lisboa. Os passageiros retidos são colocados nesta escama de campanha, que são escondidas quando há visitas de membros do governo ou até do diretor nacional de PSP. A TVI, a",2,
7,75.0,246.0,01:15,04:06,171.0,2.85,3,150.0,180.0,02:30,03:00,30.0,30.0,0.17543859649122806,1.0,Transportes/Mobilidade,"Transportes/Mobilidade, Internacional, Justiça/Segurança",filas no aeroporto de lisboa | 19 55 | jornal nacional | macronal | tvi | tvi 19 55 | filas no aeroporto de lisbo | passageiros esperam hoje mais de três horas,Justiça/Segurança,"Justiça/Segurança, Greves/Trabalho",,,"direção da Polícia, diz que não comenta declarações de sindicatos. O tempo de espera é Alberto Bonoite neste momento. É de 6 horas filas intermináveis para quem entra em","2, 3",
7,75.0,246.0,01:15,04:06,171.0,2.85,4,180.0,210.0,03:00,03:30,30.0,30.0,0.17543859649122806,1.0,Transportes/Mobilidade,"Transportes/Mobilidade, Internacional, Justiça/Segurança",filas no aeroporto de lisboa | 19 55 | jornal nacional | macronal | tvi | tvi 19 55 | filas no aeroporto de lisbo | passageiros esperam hoje mais de três horas,Transportes/Mobilidade,Transportes/Mobilidade,,,"Portugal e está nesse controlo o fronteriço. Ora neste momento há 16 boxos no aeroporto Lisboa, que está na sua capacidade máxima a 16 policias neste ponto dos fronteriços. Aí houve mesma indicação para que a fiscalização do Passaporte. Não fosse tão exigente. O que sabemos é que quando uma pessoa se dirige essa zona entre aí, os documentos, o sistema leva um minutimáio para ler o Passaporte e confirmar esses dados biométricos.",3,
7,75.0,246.0,01:15,04:06,171.0,2.85,5,210.0,240.0,03:30,04:00,30.0,30.0,0.17543859649122806,1.0,Transportes/Mobilidade,"Transportes/Mobilidade, Internacional, Justiça/Segurança",filas no aeroporto de lisboa | 19 55 | jornal nacional | macronal | tvi | tvi 19 55 | filas no aeroporto de lisbo | passageiros esperam hoje mais de três horas,Justiça/Segurança,"Justiça/Segurança, Internacional, Transportes/Mobilidade",,,"Isso tem causado estes constrangimentos no aeroporto. Há dias, por exemplo, sabemos de um caso de um homem que tinha cometido um crime grave no Porto, tentou fugir para o Brasil a través de Lisboa. A situação estava complicada ainda assim. A Polícia conseguiu perceber que tinha um vasto, digamos, cadastro e foi mesmo detido no aeroporto. O melhor é Alberto a quem tem de viajar, traga muita paciência porque o cenário nos",3,
7,75.0,246.0,01:15,04:06,171.0,2.85,6,240.0,270.0,04:00,04:30,30.0,6.0,0.03508771929824561,0.2,Transportes/Mobilidade,"Transportes/Mobilidade, Internacional, Justiça/Segurança",filas no aeroporto de lisboa | 19 55 | jornal nacional | macronal | tvi | tvi 19 55 | filas no aeroporto de lisbo | passageiros esperam hoje mais de três horas,Other/Unknown,,,,próximos dias não irá mudar.,3,
8,246.0,264.0,04:06,04:24,18.0,0.3,6,240.0,270.0,04:00,04:30,30.0,18.0,1.0,0.6,Other/Unknown,,tvi 19 58 | condenado a 14 anos por atropelamento | 19 58 | jornal nacional | opelamento,Other/Unknown,,,,próximos dias não irá mudar.,3,
9,264.0,360.0,04:24,06:00,96.0,1.6,6,240.0,270.0,04:00,04:30,30.0,6.0,0.0625,0.2,Justiça/Segurança,Justiça/Segurança,caso spinumviva arquivado | 19 58 | tvi caso spinumviva arquivado | jornal nacional | tvi 19 58 | pgr pediu escusa sobre as conclusões | 1 16000 | moto expressions,Other/Unknown,,,,próximos dias não irá mudar.,3,
9,264.0,360.0,04:24,06:00,96.0,1.6,8,300.0,330.0,05:00,05:30,30.0,30.0,0.3125,1.0,Justiça/Segurança,Justiça/Segurança,caso spinumviva arquivado | 19 58 | tvi caso spinumviva arquivado | jornal nacional | tvi 19 58 | pgr pediu escusa sobre as conclusões | 1 16000 | moto expressions,Other/Unknown,,,,"e evitar isso. A minha impendência, a minha imparcialidade não está em causa. Mais parco em palavras,",4,
9,264.0,360.0,04:24,06:00,96.0,1.6,9,330.0,360.0,05:30,06:00,30.0,30.0,0.3125,1.0,Justiça/Segurança,Justiça/Segurança,caso spinumviva arquivado | 19 58 | tvi caso spinumviva arquivado | jornal nacional | tvi 19 58 | pgr pediu escusa sobre as conclusões | 1 16000 | moto expressions,Eleições/Campanha,Eleições/Campanha,,,"Marcelo não quis se alongar em comentários sobre o caso. Essa decisão, post-hermo a um terminado processo em condições específicas aconteceu, se quiserem a peste e se afuncionar. Já quem não quis deixar de comentar foi Pedro Nuno Santos, a polêmica espineu-viva, o Pânio Socialista da Secretário-Jal e marcou a campanha em que se lhe derrotado frente a Montenegro, como tem seu habitual, Pedro Nuno Santos recorreu ao Instagram.",4,
