block_id,ocr_start_sec,ocr_end_sec,ocr_start_time,ocr_end_time,ocr_duration_sec,ocr_duration_min,window_id,speech_start_sec,speech_end_sec,speech_start_time,speech_end_time,speech_duration_sec,overlap_sec,overlap_ratio_of_ocr_block,overlap_ratio_of_speech_window,ocr_theme,ocr_themes_present,ocr_text,speech_theme,speech_themes_present,speech_candidates_present,speech_parties_present,speech_text,speech_source_segments,speech_transition_reason
4,72.0,123.0,01:12,02:03,51.0,0.85,1,120.0,150.0,02:00,02:30,30.0,3.0,0.058823529411764705,0.1,Justiça/Segurança,Justiça/Segurança,19 55 | exclusivo tvi | jornal nacional | 411 | igas confirma investigação ao dermatologista do st m | tvi 19 55 | igas confirma investigação ao dermatologista do st mathrm a m mathrm a | tvi,Saúde,Saúde,,,"Os inspeitos afirmam ainda que o médico fez cirurgias aos papos pais, algo que a TVI já tinha averiguado. Felo sem qualquer referência são, o que resultou num gasto de superior a 8.500 euros para o SNS, dos quais 5.500 apenas numa manhã de um sábado, ele foram pagos diretamente. Tal como a TV notícia, Miguel Palhaum ganhou 400 mil euros em apenas 10 sábados.",1,
5,123.0,156.0,02:03,02:36,33.0,0.55,1,120.0,150.0,02:00,02:30,30.0,27.0,0.8181818181818182,0.9,Other/Unknown,,19 56 | jornal nacional | tvi 19 56,Saúde,Saúde,,,"Os inspeitos afirmam ainda que o médico fez cirurgias aos papos pais, algo que a TVI já tinha averiguado. Felo sem qualquer referência são, o que resultou num gasto de superior a 8.500 euros para o SNS, dos quais 5.500 apenas numa manhã de um sábado, ele foram pagos diretamente. Tal como a TV notícia, Miguel Palhaum ganhou 400 mil euros em apenas 10 sábados.",1,
6,156.0,267.0,02:36,04:27,111.0,1.85,3,180.0,210.0,03:00,03:30,30.0,30.0,0.2702702702702703,1.0,Transportes/Mobilidade,"Transportes/Mobilidade, Justiça/Segurança, Educação, Internacional, Desporto",19 56 | the rest | tragédia na calçada da glória | tvi | tvi 19 56 | 19 57 | macroam | jornal nacional,Transportes/Mobilidade,"Educação, Transportes/Mobilidade",,,"O Instituto de Soldadura e Qualidade realizou várias inspeções magnéticas aos cabos do elevador da glória, com sensores capazes de detectar anomalias invisíveis ao aluno, como fios partidos e bolhas de ar do interior. O primeiro cabo com núcleo em fibra passou nesse Zaman fevereiro de 2023, três",2,
6,156.0,267.0,02:36,04:27,111.0,1.85,4,210.0,240.0,03:30,04:00,30.0,30.0,0.2702702702702703,1.0,Transportes/Mobilidade,"Transportes/Mobilidade, Justiça/Segurança, Educação, Internacional, Desporto",19 56 | the rest | tragédia na calçada da glória | tvi | tvi 19 56 | 19 57 | macroam | jornal nacional,Transportes/Mobilidade,Transportes/Mobilidade,,,"meses depois de entrada em serviço. Nessa altura, o ESC recomendou a carris segunda-expeção no prazo máximo de um ano.",2,
6,156.0,267.0,02:36,04:27,111.0,1.85,5,240.0,270.0,04:00,04:30,30.0,27.0,0.24324324324324326,0.9,Transportes/Mobilidade,"Transportes/Mobilidade, Justiça/Segurança, Educação, Internacional, Desporto",19 56 | the rest | tragédia na calçada da glória | tvi | tvi 19 56 | 19 57 | macroam | jornal nacional,Justiça/Segurança,Justiça/Segurança,,,"Em reação a notícia do Semanário, na serem do Sol, a carrisa informa agora que iria repetir os testes e o Etromagnéticos, no mês seguinte ao acidente. Estava prevista a nova inspção para o 8 de 2025. Ou seja, o primeiro cabo de fibra foi inspecionado ao fim de três",3,
7,267.0,270.0,04:27,04:30,3.0,0.05,5,240.0,270.0,04:00,04:30,30.0,3.0,1.0,0.1,Other/Unknown,,19 58 | ammanamanamana | tvi 19 58 | marine,Justiça/Segurança,Justiça/Segurança,,,"Em reação a notícia do Semanário, na serem do Sol, a carrisa informa agora que iria repetir os testes e o Etromagnéticos, no mês seguinte ao acidente. Estava prevista a nova inspção para o 8 de 2025. Ou seja, o primeiro cabo de fibra foi inspecionado ao fim de três",3,
8,270.0,333.0,04:30,05:33,63.0,1.05,6,270.0,300.0,04:30,05:00,30.0,30.0,0.47619047619047616,1.0,Transportes/Mobilidade,Transportes/Mobilidade,tvi 19 58 | carris falha teste magnético | 19 58 | tvi carris falha teste magnético | jornal nacional | cabo devia ter sido inspecionado até fevereiro de 2024 | 19 59 | tvi,Justiça/Segurança,Justiça/Segurança,,,"meses, o do acidente só seria, ao fim, de um ano de serviço. A tragédia, antes de possuir um mês, ficar ouvida, será que teria sido evitada?",3,
8,270.0,333.0,04:30,05:33,63.0,1.05,7,300.0,330.0,05:00,05:30,30.0,30.0,0.47619047619047616,1.0,Transportes/Mobilidade,Transportes/Mobilidade,tvi 19 58 | carris falha teste magnético | 19 58 | tvi carris falha teste magnético | jornal nacional | cabo devia ter sido inspecionado até fevereiro de 2024 | 19 59 | tvi,Economia/Proteção Social,Economia/Proteção Social,,,"em expressão também poderia feiar por falta de acesso às extremidades do cabo, que estão tudo indica na origem da tragédia. Especionar a pinha de ligação do cabo a carruagem implicaria desmontar uma série de peças e imobilizar os ilvadores todos os meses, como mandam as normas europeias nunca cumpridas para empresas.",4,
9,333.0,567.0,05:33,09:27,234.0,3.9,10,390.0,420.0,06:30,07:00,30.0,30.0,0.1282051282051282,1.0,Greves/Trabalho,"Greves/Trabalho, Governo/Partidos",greve geral | 19 59 | tvi 19 59 | gram | paralisação é a primeira em 12 anos | 20 00 | nacional | jornal nacional,Governo/Partidos,Governo/Partidos,,,A proposta vende de um governo,5,
9,333.0,567.0,05:33,09:27,234.0,3.9,11,420.0,450.0,07:00,07:30,30.0,30.0,0.1282051282051282,1.0,Greves/Trabalho,"Greves/Trabalho, Governo/Partidos",greve geral | 19 59 | tvi 19 59 | gram | paralisação é a primeira em 12 anos | 20 00 | nacional | jornal nacional,Other/Unknown,,,,"também ele, diferente de há 12 anos, pelo menos no que toca aos protagonistas, porque a cor política essa voltou a ser laranja. Pedro Motaçoar de lugar, Maria Rosário Palma Ramálio na pasta do trabalho, e no papel de passo escuelo está agora a Luís Montenegro, que usa as organizações sindicais de estar olhado para interesses partidários. Não consigo deslumbrar outra razão para esta posição das centrais sindicais, mas acho que não seja olhar para interesses que, do meu ponto de vista, não deviam ser",5,
