block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,example_type
22,06:06,17:48,366.0,1068.0,11.7,Eleições/Campanha,Eleições/Campanha,Eleições/Campanha,high,False,,0.855,0.7,20,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:30,24.0,"semantic_change_high, entities_changed","Eleições/Campanha, Sondagens, Saúde","Eleições/Campanha, Justiça/Segurança, Sondagens, Governo/Partidos, Educação, Saúde","André Ventura, Cotrim Figueiredo, Luís Marques Mendes, Henrique Gouveia e Melo, António José Seguro",André Ventura,tele jornal | ter 13 20 03 | sondagem presidenciais | ventura e seguro empatados rumo à segunda volta | 20 03 | ter 13 | maria castello branc | comentadora rtp,"Consegue ser o candidato mais agregador. Eu acho que isso talvez... Também não é uma surpresa? Ou não? É uma surpresa que o iletrado do PS esteja mais fixo em, então, nos descegurdo, que o iletrado de estar em marcos mentes. Porque repare o iletrado de estar com quase a mesma adição à candidatura de marcos mentes que é da candidatura de cotrinho. Isso é bastante surpreendente. Quer dizer que pelo avó do útil da parte de cotrinho pode mesmo funcionar agora na Rata Final. Sim, e não. Se a perspectiva dessa pergunta envolver apenas um ano antes de quatro ou cinco dias, não, não é sorprendente. Agora, se eu fizer, se esta pergunta há três semanas atrás, eu diria que sim, quase que dava para apos...","22, 23, 24",high_agreement
33,29:42,34:15,1782.0,2055.0,4.55,Eleições/Campanha,Eleições/Campanha,Eleições/Campanha,high,False,,0.78,0.507,8,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,29:30,12.0,"theme_changed, volume_change_high","Eleições/Campanha, Sondagens","Eleições/Campanha, Sondagens, Governo/Partidos, Greves/Trabalho","Luís Marques Mendes, Cotrim Figueiredo",Catarina Martins,sondagem presidenciais | tele jornal | ter 13 20 27 | marques me | rtai | marques mendes cai para quinto e longe da 2 volta | rtp pt | rlp pt,"os menos não têm condições de chegar a segunda volta, e é o candidato que mais te seiu desde uma outra sondagem última, que foi feita a em dezembro. Nesta altura, o candidato está no encontro com o apoio antes de ancião no Distrito de Lairia, e é acompanhado pela Flippa, de esmenos Flippa. Vamos também a reação dessa candidatura à esta sondagem da RTP. Diem-me há porque é que há a sua isca, para a rua. A rua desmente todas as sondagens. Acabámos ter aqui um comício como o viu, como a multidão, num dia de semana, onde aconteceu a mesma coisa entre os montos no destino fila real. E nos dias anteriores, na rua é um grande entusiasmo. E portanto, as sondagens falham. E nos últimos anos tem falha...",37,high_agreement
27,22:09,25:45,1329.0,1545.0,3.6,Sondagens,Governo/Partidos,Sondagens,medium_related,False,Themes differ but belong to the same broad group.,0.278,0.5,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,21:30,39.0,"theme_changed, semantic_change_high, entities_changed, gap_high","Eleições/Campanha, Sondagens, Justiça/Segurança, Governo/Partidos, Saúde, Ambiente/Meteorologia/Proteção Civil","Eleições/Campanha, Governo/Partidos, Saúde",Henrique Gouveia e Melo,,sondagem presidenciais | tele jornal | ter 13 20 19 | gouveia e melo com 14 e longe da se | gouveia e melo com 14 e longe da segunda volta | rtp pt | ter 13 20 20 | rtp,"O dia foi passado na margem sul do Tejo, o tema da saúde voltou a entrar na campanha do Goveimelo, muito crítico com o governo e com os palavras do Lisbon de Negro, de que é uma precisão de cause que não corresponde à realidade. Ora, Goveimelo fala a necessidade de mudanças, de outrasções nas lideranças políticas e diz que se o governo não tem a capacidade para resolver o problema de eve de mentir.",30,medium_related_agreement
30,26:00,29:21,1560.0,1761.0,3.35,Eleições/Campanha,Sondagens,Eleições/Campanha,medium_related,False,Themes differ but belong to the same broad group.,0.701,0.787,5,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,26:00,0.0,"theme_changed, lexical_change_high, gap_high","Eleições/Campanha, Sondagens",Sondagens,"Cotrim Figueiredo, André Ventura",André Ventura,tele jornal | ter 13 20 23 | sondagem presidenciais | 20 23 | ter 13 | rtp pt | appricate | cotrim de figueire,"Na verdade, esta sondagem é conferindo, mas como eu tenho vivido a dizer de algumas semanas, é este ano de que a criatura que cresce em todas as sondagens, todas as casas de sondagem, e neste momento, a escolha ficou muito mais tardado por isso que isso. Com esta sondagem, é uma ótima amigora de margem dele. Eu gostei que mais pequena, só há três criaturas como civilidades caram da volta. A minha, de Torres de Acesgúria e de André Ventura, tantos dias, tem esta escolha que flara, entre estes três, dois ou uma a segunda volta. Se querem até alguém responsável, não se passe sempre de direita, apenas a segunda volta, só tem uma alternative notoria. Então, obrigada. A gente Herman Fig based de v...","33, 34",medium_related_agreement
24,17:51,21:57,1071.0,1317.0,4.1,Eleições/Campanha,Saúde,Eleições/Campanha,low_conflict,True,OCR and speech themes conflict.,0.72,0.322,6,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,18:00,9.0,"theme_changed, lexical_change_high, entities_changed, gap_high","Eleições/Campanha, Sondagens","Abertura/Manchetes, Eleições/Campanha, Sondagens, Educação, Saúde, Economia/Proteção Social, Governo/Partidos","André Ventura, Cotrim Figueiredo",André Ventura,tele jornal | ter 13 20 15 | con | telejornal | tele jo rnal | orn | sondagem presidenciais | ventura à frente empatado com seguro,"Sem mais demoras vamos a essa reação de André Ventura, muito boa noite, a André Ventura, esta sondaja de a Universidade Católica indica que está à frente, ainda que em parte de técnico, mas há uma percentage de intenções de voto que é em tudo semelhante a que conseguiu nas logis Lativas, nas últimas logis Lativas. Isso significa que não está a conseguir alargar a base eleitoral e jogutou essa capacidade de crescimento. Em primeiro lugar significa uma grande vitória, que estou em primeiro lugar e acho que este é ser reconhecido e é fredo do trabalho que tenho feito e que o partido está imobilizado na nível do país todo. Pois eu acho que esta campanha mostrou que era possível convencer as pess...","26, 27",low_conflict
42,41:48,42:48,2508.0,2568.0,1.0,Justiça/Segurança,Governo/Partidos,Justiça/Segurança,low_conflict,True,OCR and speech themes conflict.,1.0,0.5,3,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,42:00,12.0,"theme_changed, lexical_change_high",Justiça/Segurança,"Justiça/Segurança, Governo/Partidos, Internacional, Greves/Trabalho",,,tele jornal | ter 13 20 39 | operação marquês | 20 39 | ter 13 | josé sócrates voltou a ficar sem advogado | josé preto entregou pedido de renúncia | sócrates sem advogado,"Entragou no Tribunal um pedido de renúncia. Alega que o Tribunal não respeitou a sua doença, uma vez que estava hospitalizado e nomeou-se uma algada pseudo ou desvogado oficiosa que aceitou apenas cinco dias para consultar o processo. O advogado peda então a novidade de todos os atos considera que foram ultrapassados os limites da decência. José Prato, o adiante que renunciou a defesa do ex-Promem Ministro para devolver ao argoído ou liberdade no restablecimento dos seus direitos. Donald Trump escraveu aos iranianos e diz que a ajuda vai a caminho numa mensagem nas redes sociais incentiva aos iranianos a continuar os protestos e a assumir até o controle das instituições. O presidente norte-a...",52,low_conflict
1,00:00,01:15,0.0,75.0,1.25,Desporto,No speech,Desporto,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,candidate_detected,high,00:24,24.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",False,,,,"Eleições/Campanha, Sondagens, Desporto",,,,sondagem rtp presidenciais 2026 | sem dinheiro | sem dinheiro para medicamentos | para medicamentos | advancis | posologia prescrita | combiningo | posologia prescrito,,1,needs_review
2,01:15,01:18,75.0,78.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:30,15.0,first_speech_window,,,,,42 36 57 n | 277 | 3 28 | 3 90 | 0 89 4 05 0 37 1 63 | 63 4 | 0 37 | 0 83,,2,needs_review
1,00:00,01:15,0.0,75.0,1.25,Desporto,No speech,Desporto,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,candidate_detected,high,00:24,24.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",False,,,,"Eleições/Campanha, Sondagens, Desporto",,,,sondagem rtp presidenciais 2026 | sem dinheiro | sem dinheiro para medicamentos | para medicamentos | advancis | posologia prescrita | combiningo | posologia prescrito,,1,anchor_to_piece_candidate
14,03:51,04:15,231.0,255.0,0.4,Other/Unknown,Eleições/Campanha,Eleições/Campanha,speech_only,True,OCR theme is unknown; final theme relies on speech.,0.375,1.0,1,candidate_detected,high,04:06,15.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",False,,,,,"Eleições/Campanha, Sondagens","Henrique Gouveia e Melo, Luís Marques Mendes",André Ventura,tele jornal | ter 13 20 01 | henrique gouveia e melo | luís marques mendes | telejornal | andré pestana | humberto correia | 0 5,"faça a última sondagem em dezembro que já refletem a primeira semana de campanha e também os posicionamentos partidários. Marquismente só recolhe 3 em cada 10 votantes da AD. João que trinta-fegria tem quase a mesma fatia de eleitor da coligação que governa e é o mais votado entre os jovens, seguro só ter metado eleiturado do PS e é o preferido entre os mais velhos. Ventura que recolhe mais votos na faça etária dos 33 aos 64 anos.",14,anchor_to_piece_candidate
